destination,time,goodput_mbps
server5,8.0,0.65536
server5,8.2,20.31616
server5,8.4,0.65536
server5,8.6,20.31616
server5,8.8,0.65536
server5,9.0,19.6608
server5,9.2,25.43136
server5,9.4,20.48992
server5,9.6,0.65536
server5,9.8,20.25824
server5,10.0,21.02944
server5,10.2,20.31616
server5,10.4,22.24576
server5,10.6,20.97152
server5,10.8,20.31616
server5,11.0,20.97152
server5,11.2,62.99392
server5,11.4,21.53248
server5,11.6,41.94304
server5,11.8,20.97152
server5,12.0,41.28768
server5,12.2,41.5376
server5,12.4,42.34848
server5,12.6,41.79072
server5,12.8,41.94304
server5,13.0,41.94304
server5,13.2,41.28768
server5,13.4,63.64928
server5,13.6,41.90656
server5,13.8,41.17184
server5,14.0,42.75392
server5,14.2,19.71872
server5,14.4,44.144
server5,14.6,41.42176
server5,14.8,20.83744
server5,15.0,21.5904
server5,15.2,41.94304
server5,15.4,20.97152
server5,15.6,41.28768
server5,15.8,41.94304
server5,16.0,20.97152
server5,16.2,41.28768
server5,16.4,21.53248
server5,16.6,41.28768
server5,16.8,43.10144
server5,17.0,20.31616
server5,17.2,41.94304
server5,17.4,41.94304
server5,17.6,19.6608
server5,17.8,43.21728
server5,18.0,41.5376
server5,18.2,41.57728
server5,18.4,21.08736
server5,18.6,41.94304
server5,18.8,20.97152
server5,19.0,41.84864
server5,19.2,41.94304
server5,19.4,20.97152
server5,19.6,41.28768
server5,19.8,41.28768
server5,20.0,21.72448
server5,20.2,41.28768
server5,20.4,41.94304
server5,20.6,41.94304
server5,20.8,20.97152
server5,21.0,41.28768
server5,21.2,41.28768
server5,21.4,42.312
server5,21.6,41.94304
server5,21.8,20.97152
server5,22.0,41.94304
server5,22.2,41.28768
server5,22.4,41.42176
server5,22.6,20.83744
server5,22.8,42.7936
server5,23.0,41.94304
server5,23.2,41.94304
server5,23.4,41.28768
server5,23.6,41.28768
server5,23.8,21.3008
server5,24.0,42.38816
server5,24.2,41.94304
server5,24.4,41.056
server5,24.6,41.5376
server5,24.8,42.58016
server5,25.0,41.28768
server5,25.2,41.94304
server5,25.4,41.94304
server5,25.6,41.28768
server5,25.8,41.28768
server5,26.0,42.86976
server5,26.2,41.28768
server5,26.4,41.94304
server5,26.6,41.28768
server5,26.8,41.94304
server5,27.0,41.94304
server5,27.2,41.90656
server5,27.4,41.94304
server5,27.6,41.94304
server5,27.8,41.28768
server5,28.0,41.94304
server5,28.2,20.31616
server5,28.4,84.44704
server5,28.6,41.94304
server5,28.8,41.28768
server5,29.0,41.94304
server5,29.2,41.11392
server5,29.4,41.47968
server5,29.6,41.94304
server5,29.8,41.9248
server5,30.0,41.94304
server5,30.2,41.94304
server5,30.4,41.28768
server5,30.6,41.88512
server5,30.8,42.56192
server5,31.0,41.67488
server5,31.2,42.23264
server5,31.4,41.28768
server5,31.6,41.94304
server5,31.8,41.28768
server5,32.0,42.38816
server5,32.2,42.1168
server5,32.4,41.94304
server5,32.6,40.63232
server5,32.8,43.21728
server5,33.0,42.56192
server5,33.2,41.28768
server5,33.4,41.94304
server5,33.6,40.88224
server5,33.8,41.69312
server5,34.0,42.9856
server5,34.2,20.31616
server5,34.4,41.28768
server5,34.6,43.15936
server5,34.8,41.46144
server5,35.0,41.5376
server5,35.2,41.69312
server5,35.4,42.61984
server5,35.6,41.65344
server5,35.8,42.23264
server5,36.0,41.28768
server5,36.2,41.71136
server5,36.4,41.51936
server5,36.6,41.94304
server5,36.8,41.5376
server5,37.0,41.69312
server5,37.2,41.71136
server5,37.4,62.49088
server5,37.6,41.94304
server5,37.8,41.71136
server5,38.0,41.51936
server5,38.2,42.27232
server5,38.4,41.94304
server5,38.6,41.056
server5,38.8,42.17472
server5,39.0,41.28768
server5,39.2,41.65344
server5,39.4,41.57728
server5,39.6,42.38816
server5,39.8,41.28768
server5,40.0,43.04352
server5,40.2,41.28768
server5,40.4,41.94304
server5,40.6,41.94304
server5,40.8,41.28768
server5,41.0,41.94304
server5,41.2,40.7664
server5,41.4,42.46432
server5,41.6,40.99808
server5,41.8,42.56192
server5,42.0,41.94304
server5,42.2,41.94304
server5,42.4,41.11392
server5,42.6,42.1168
server5,42.8,42.61984
server5,43.0,41.28768
server5,43.2,41.94304
server5,43.4,41.28768
server5,43.6,41.94304
server5,43.8,41.94304
server5,44.0,41.28768
server5,44.2,41.94304
server5,44.4,41.94304
server5,44.6,41.28768
server5,44.8,41.94304
server5,45.0,41.96448
server6,0.2,88.27296
server6,0.4,0.65536
server6,0.6,0.65536
server6,0.8,0.65536
server6,1.0,0.65536
server6,1.2,23.59296
server6,1.4,0.65536
server6,1.6,0.65536
server6,1.8,0.65536
server6,2.0,0.65536
server6,2.2,0.65536
server6,2.4,0.65536
server6,2.6,0.65536
server6,2.8,0.65536
server6,3.0,0.65536
server6,3.2,0.65536
server6,3.4,0.65536
server6,3.6,19.00544
server6,3.8,0.65536
server6,4.0,0.65536
server6,4.2,0.65536
server6,4.4,0.65536
server6,4.6,0.65536
server6,4.8,0.65536
server6,5.0,22.28224
server6,5.2,0.65536
server6,5.4,0.65536
server6,5.6,0.65536
